ISO,Drivers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CHN,Commodity-Driven Deforestation,934.18,1183.62,986.68,2202.42,3040.99,2846.64,4498.76,10728.56,5879.43,4314.6,3776.28,4345.81,3305.14,3592.6,2891.13
CHN,Forestry,178466.25,198061.73,179465.4,381427.03,325300.15,447681.44,582768.4,661284.37,535931.44,560707.75,551120.4,551491.36,414471.33,502920.3,471280.38
CHN,Shifting Agriculture,5054.6,6199.45,2873.63,5517.38,5050.64,7479.81,7192.81,8292.57,8898.45,8336.73,5528.11,9383.33,3296.95,3317.79,2801.56
CHN,Urbanization,2537.89,2336.32,2220.08,5666.17,4163.24,5852.66,7307.99,6850.33,6031.98,5938.64,6416.87,6003.21,5166.78,6621.33,6171.91
CHN,Wildfire,28599.68,26154,67909.52,91268.05,34024.77,96458.11,35353.73,33456.46,27733.59,32529.96,17694.07,15205.49,4861.85,6506.54,1703.11
CIV,CIV,122669.39,144504.92,86205.91,48013.81,65297.9,97754.97,90824.83,127490.55,108821.93,92444.99,124632.48,96093.62,175684.3,346681.02,152391.37
CIV,Commodity-Driven Deforestation,7492.06,11076.94,7188.68,3151.28,4274.68,6794.18,5972.25,11110.63,8599.23,6548.78,12789.43,9565.57,12364.81,16067.44,9205.26
CIV,Forestry,1490.48,1323.05,782.09,290.12,275.35,1495.15,613.5,1562.19,2197.44,1023.51,2209.85,715.77,1365.05,1814.53,782.1
CIV,Shifting Agriculture,113602.13,132033.84,78115.34,44545.45,60602.25,89362.69,84051.63,114620.33,97589.32,84755.26,109418.18,85697.3,161811.12,328537.67,142299.21
CIV,Urbanization,84.72,71.09,119.81,26.96,145.62,102.96,187.45,197.41,435.94,117.43,215.02,114.98,143.33,261.37,104.79
CMR,CMR,37707.9,27823.31,24508.6,22105.2,24235.49,35012.81,44438.35,34298.17,34121.28,56423.37,26907.84,49931.62,81909.34,178432.3,77541.18
CMR,Commodity-Driven Deforestation,2159.51,1109.24,1182.37,744.56,1094.33,2140.5,2447.51,1649.65,1683.4,4929.52,3280.26,5040.22,6652.01,10923.48,8423.59
CMR,Forestry,814.95,641.32,771.61,205.76,464.52,861.43,1186.84,945.16,454.77,2710.54,788.21,1248.78,1238.98,1635.25,631.03
CMR,Shifting Agriculture,34239.79,26025.79,22058.87,20997.04,22350.75,31530.65,40260.4,31157.26,31790.83,46900.54,22108.14,42459.28,73067.16,162932.5,67191.47
CMR,Urbanization,493.65,46.97,495.76,157.83,325.9,480.23,543.6,546.09,192.28,1882.77,731.22,1183.35,951.2,2941.06,1295.09
COD,COD,450306.64,509121.98,270524.67,395854.66,481107.99,449565.99,458661.07,401894.09,629386.63,804096.54,424974.08,624105.76,911768.96,1326097.51,922052.97
COD,Commodity-Driven Deforestation,13675.86,14895.3,7618.42,13862.46,15045.48,24227.71,15062.66,13890.51,25356.98,25743.39,13008.8,28390.35,31882.34,43074.1,29026.02
COD,Forestry,3043.06,1455.38,632.68,2123.88,1332.91,2902.49,3592.31,1650.18,2210.6,1951.49,2648.23,2194.57,2605.39,4682.64,3340.41
COD,Shifting Agriculture,433207.81,492582.71,261931.48,379123.41,463461.27,422130.53,439547.13,384992.05,600943.41,776014.07,409001.36,593115.14,875637.77,1276173.26,888286.65
COD,Urbanization,379.91,188.59,342.1,744.91,1268.33,305.26,458.97,1361.34,875.65,387.6,315.7,405.7,1643.46,2167.52,1399.89
COG,COG,25534.37,23511.93,17839.01,13416.46,18064.67,20965.31,28564.36,16906.16,18023.93,42365.78,27185.09,30822.91,52633.02,69457.52,46489.98
COG,Commodity-Driven Deforestation,796.48,1425.84,1466.66,584.74,529.74,1106.36,1336.02,598.09,626.82,2281.86,1317.21,1112.84,1878.88,2461.62,1493.46
