Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cabo Verde,CPV,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,30444140.13,28397473.06,22780499.09,21563493.29,22265740.41,28168394.99,30164465.64,40223785.75,43419099.07,42209160.83,37376511.24,34722365.15,33083262.57,42369553.77,47114118.8,58203450.01,59305505.91,62102446.39,64518932.19,92762235.5,101653608.9,93245949.85,90176973.72,91963678.2,97545458.66,93848155.03,94115049.22,123907815.3,125089899.5,138244074.8,132974724.6,139905355.6,152411387.7,150398268.3,150145093.1,162300426.8,156620244.2,123863760.5
Cambodia,KHM,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808634428,2006350025,2053704816,2087844244,2179869218,2260671726,2317963488,2400423379,2340717394,2586694905,2564297983,2967406109,3129993936,3287392903,3475259256,3663554867,3808509454,3925838773,4094856744,4159006029,4170717479,4179179903,4234495593,4308114068
Cameroon,CMR,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,754740975.5,785070067.3,834572697.5,878497579.2,926257191.7,971576510.6,984126444.2,1041298592,1082085905,1134377466,1148321837,1163660759,1178999567,1223621667,1406293380,1409779529,1595276785,1656248994,1530755941,1665927006,1809855598,1920110254,1929988173,1685628585,1805545832,1787490345,1715990690,1818950225,2044636304,2162356339,2164488184,2281870893,2344902782,2467722465,2608400154,2729597406,2900255780,2987422591,2920237980,3151424947,3199063485,3176958028,3321455591,3451427115,3478786271,3677822713,3773751696,3911869221,4186641273,4445630289,4680810653,4916592243,5074575492
Canada,CAN,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21014065510,22681274779,21250517106,21486968605,22378556553,22611242930,26638449330,24485535552,25471252324,26642214549,26588749333
Cayman Islands,CYM,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776760223.7,799768614.3,829115722,845382022.6,468917546.4,461207361.4,460442105.4,481422106.5,495952751.1
Chad,TCD,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5172334114,4917412061,4767059489,5536211541,5113156272,5716132358,5596461735,5954635848,6556054129,6162690881,6354217635
Channel Islands,CHI,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,1117711064,1097185579,1047193371,1112143878,1126539834,1139192530,1377119453,1415021307,1486719919,1311662838,1353557321,1338711491,1227311530,1104833431,1400456648,1461695698,1438077331,1590865667,1531875986,1626405685,1688769418,1753719926,1741067229,1704571230,1857247097,1988104093,2139623616,2343411898,2613240786,2776509462,3029426580,3102988396,3475434337,3583966128,3854298864,4120856390,4236442054,4427448968,4666803011,4573564091,4898220868,5109099655,5320270061,5426660976,6145583628,6927204656,7547505675,7718714596,8246029859,7827598277,7902076684,8771919857,8421309200,8416196010,8431584475,8959685695,9162366284,9323990492
China,CHN,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,73237478917,74262803625,77604629785,86373952951,97516192889,1.06975E+11,1.14677E+11,1.16856E+11,1.14987E+11,1.15907E+11,1.24831E+11,1.27203E+11,1.26058E+11,1.37404E+11,1.43037E+11,1.45898E+11,1.43272E+11,1.4012E+11,1.3855E+11,1.47001E+11,1.44923E+11,1.55037E+11,1.7291E+11,1.87181E+11,2.11427E+11,2.15306E+11,2.22372E+11,2.32902E+11,2.38721E+11,2.46064E+11,2.64214E+11,2.70449E+11,2.82918E+11,2.96081E+11,3.07857E+11,3.22959E+11,3.39308E+11,3.50946E+11,3.63E+11,3.72976E+11,3.81566E+11,3.9168E+11,4.0221E+11,4.1177E+11,4.36986E+11,4.59154E+11,4.80906E+11,4.97809E+11,5.23579E+11,5.445E+11,5.67638E+11,5.9133E+11,6.17793E+11,6.41208E+11,6.67255E+11,6.93303E+11,7.16025E+11,7.44289E+11
