"","ISO","Indicator","value.1992","value.2008","value.1993","value.1996","value.1991","value.1998","value.2015","value.2006","value.1990","value.1995","value.2005","value.2014","value.1994","value.2013","value.2016","value.2004","value.2002","value.2009","value.2010","value.1997","value.2011","value.2012","value.2000","value.2007","value.1999","value.2003","value.2001"
"622","BDI","SUSI",0.638610823914371,0.777817635668343,0.638610823914371,0.638610823914371,0.532175686595309,0.745045961233433,0.745045961233433,0.791200929671232,0.532175686595309,0.638610823914371,0.797476403854606,0.746649777430903,0.638610823914371,0.749641599452381,0.745045961233433,0.803184785254446,0.812031336989058,0.771144282206061,0.764772768674707,0.638610823914371,0.758920328252899,0.753804194119251,0.745045961233433,0.784575595882939,0.745045961233433,0.808108840692135,0.779311778315877
"649","KHM","SUSI",0.503382258632899,0.610357764894406,0.520807029124038,0.522743114734165,0.484021402531634,0.532423542784797,0.545976142055683,0.635930548859846,0.464660546430368,0.522743114734165,0.641645326383068,0.549126920626158,0.522743114734165,0.555004507301504,0.545976142055683,0.559485442120397,0.545503141369418,0.597247622276228,0.584730459569081,0.532423542784797,0.573233042411733,0.563182136442951,0.545976142055683,0.623634121784847,0.54210397083543,0.567683372282951,0.547850350081976
"676","CMR","SUSI",0.385235270655053,0.439578524239504,0.385235270655053,0.385235270655053,0.385235270655053,0.417338209876307,0.417338209876307,0.433189952457836,0.353132331433799,0.385235270655053,0.421683986914886,0.418426630807723,0.385235270655053,0.420457014162366,0.417338209876307,0.40953926811095,0.414921862589175,0.435049690073503,0.430725697895803,0.417338209876307,0.426753971793391,0.42328193585325,0.417338209876307,0.444164776306822,0.417338209876307,0.412535259589266,0.41656690379131
"703","CAN","SUSI",0.179964461146213,0.307331074416291,0.18167028542248,0.186787758251283,0.178258636869946,0.190199406803818,0.399016457961919,0.278864530893524,0.176552812593678,0.185081933975015,0.26087568080219,0.394554950344036,0.183376109698748,0.386232277982182,0.46518162357997,0.24190268207163,0.21141654735916,0.320340534047225,0.337734962613212,0.18849358252755,0.356761549585053,0.374652741720044,0.19531687963262,0.293454448156537,0.191905231080085,0.225100962840409,0.201336417416826
"730","CAF","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"757","TCD","SUSI",0.533421065337416,0.825244370292482,0.533421065337416,0.592690072597128,0.474152058077703,0.651959079856841,0.770497094376267,0.847602058817041,0.474152058077703,0.592690072597128,0.858085658527658,0.773176376695398,0.533421065337416,0.778174415658203,0.770497094376267,0.867621891781554,0.882400648652333,0.814096086611962,0.803452046741564,0.592690072597128,0.793675153247997,0.785128308697973,0.770497094376267,0.836533995216412,0.711228087116554,0.875847856012016,0.827789542660076
"784","CHL","SUSI",0.775725590413183,0.77898260946896,0.775725590413183,0.775725590413183,0.810985844522873,0.775725590413183,0.775725590413183,0.773282866431863,0.810985844522873,0.775725590413183,0.773900936797792,0.775884985989002,0.775725590413183,0.776182328785899,0.775725590413183,0.774463154293645,0.775334449642498,0.778319376974211,0.777686142898028,0.775725590413183,0.777104497000913,0.77659602904337,0.775725590413183,0.778951859404999,0.775725590413183,0.774948123661265,0.775600736979189
"811","CHN","SUSI",2.49957676730122,2.76925052783415,2.51568580078142,2.64321977968773,2.49169573246014,2.66582199281687,2.73481260383365,2.86785256381053,2.48609474543472,2.54651601254968,2.90071634435474,2.70227871841621,2.53055567784007,2.7151474164168,2.78304913333268,2.93971471701088,2.82668615410669,2.73056058668163,2.75646857387484,2.65397565742681,2.7496039895285,2.69493774080974,2.68654068818524,2.83019370088916,2.67667700306968,2.96684199980234,2.76317541024588
"838","COL","SUSI",0.830205573281063,1.1446638780192,0.884373446903928,0.994920127766919,0.773826766040937,0.994920127766919,1.28435143766275,1.13092589837403,0.718553425609442,0.994920127766919,1.01203569974773,1.28255694807334,0.939646787335424,1.27920943638254,1.28435143766275,1.00676200070811,0.998589097021583,1.15151408948508,1.21595718470357,0.994920127766919,1.26533539847111,1.27455196203703,0.994920127766919,1.13772681754283,0.994920127766919,1.00221290270398,0.996091274947152
"865","CRI","SUSI",0.607827584046064,0.961888847058575,0.638603664250928,0.738625924916736,0.600133563994848,0.792484065275248,1.12268575913994,0.898470078284685,0.592439543943632,0.707849844711872,0.868732791926332,1.11504839474105,0.65399170435336,1.10080135382035,1.12268575913994,0.841682760746304,0.811581176749746,0.993511544735215,1.02370392811239,0.792484065275248,1.05143660482064,1.07568018249053,0.792484065275248,0.929865227451916,0.792484065275248,0.830443210273372,0.79857992672885
"892","HRV","SUSI",0.0179447670907586,0.0831586064703502,0.0179447670907586,0.0179447670907586,NA,0.0269171506361379,0.0538343012722757,0.0821580856337064,NA,0.0269171506361379,0.0878327656571946,0.0562899608437818,0.0179447670907586,0.0619867279157257,0.0571622398963801,0.0924624580091837,0.0428988668839496,0.0907537271849247,0.0910517319936458,0.0179447670907586,0.0799014823076211,0.0677627594939279,0.0269171506361379,0.0756649971900645,0.0269171506361379,0.0901119569389983,0.0353882442987635
"919","CUB","SUSI",0.892694634102183,1.13660960526183,0.889668550596752,0.882607689084079,0.894712023105804,0.847303381520716,1.48649031034533,1.07707969187297,0.897738106611235,0.8846250780877,1.02125620234995,1.46565915416831,0.887651161593131,1.42679989343656,1.48649031034533,0.966432831665804,0.880644565782882,1.16800373287627,1.13074884271641,0.877564216575027,1.25064951738244,1.36685091389696,0.817042546466405,1.09469239828883,0.847303381520716,0.917672956077835,0.830477363775701
"946","CYP","SUSI",0.281531163598734,0.336813913234275,0.281531163598734,0.296348593261825,0.274122448767189,0.296348593261825,0.333392167419554,0.33453507591378,0.266713733935643,0.296348593261825,0.331499854942472,0.333559624574426,0.296348593261825,0.333872005758998,0.333392167419554,0.332082919680492,0.318187121975704,0.336117137141095,0.335451876664318,0.296348593261825,0.334840813486603,0.33430662929061,0.311166022924917,0.336052047073106,0.296348593261825,0.332585871899812,0.311045172080481
"973","COD","SUSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
